Mã bản tin,Tên xe,Giá tiền,Ngày đăng bài,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL
23363523,Audi A6 45 TFSI 2022,1739000000.0,09/09/2025,2022,Máy xăng,Sedan,Xe cũ,14000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/2022-45-tfsi-14000-km-aidxc23363523
23364646,Audi A6 2.0 TFSI 2022,1699000000.0,12/09/2025,2022,Máy xăng,Sedan,Xe cũ,21000,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/2022-aidxc23364646
23369765,Audi A6 1.8 TFSI 2022,1899000000.0,24/09/2025,2022,Máy xăng,Sedan,Xe cũ,4400,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/sieu-luot-4000-km-gia-18x-ty-aidxc23369765
23365021,Audi A6 2.0 TFSI 2015,670000000.0,12/09/2025,2015,Máy xăng,Sedan,Xe cũ,80000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/20-tfsi-2015-670-trieu-aidxc23365021
23350047,Audi A6 1.8 TFSI 2013,390000000.0,03/09/2025,2013,Máy xăng,Sedan,Xe cũ,75000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2013-aidxc23350047
23322962,Audi A6 1.8 TFSI 2015,600000000.0,03/09/2025,2015,Máy xăng,Sedan,Xe cũ,80000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2015-moden-2016-aidxc23322962
23370678,Audi A6 1.8 TFSI 2016,620000000.0,26/09/2025,2016,Máy xăng,Sedan,Xe cũ,80000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2016-18-tfsi-80000-km-aidxc23370678
23338532,Audi A6 2021,1788000000.0,07/07/2025,2021,Máy xăng,N/A,Xe cũ,14000,Số tự động,Trong nước,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23338532
23371893,Audi A6 2.0 TFSI 2014,379000000.0,30/09/2025,2014,Máy xăng,Sedan,Xe cũ,123,Số tự động,Nhập khẩu,Bình Chánh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/len-doi-ban-re-xe-zin-az-rat-dep-nhu-moi-hoac-doi-xe-lon-hon-aidxc23371893
23363685,Audi A6 2013,495000000.0,10/09/2025,2013,Máy xăng,Sedan,Xe cũ,110000,Số tự động,Nhập khẩu,Quận 11 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/model-2015-chinh-chu-dung-ten-cavet-aidxc23363685
23363216,Audi A6 2.0 TFSI 2022,1899000000.0,08/09/2025,2022,Máy xăng,Sedan,Xe cũ,4300,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/tiet-kiem-ngay-700tr-xe-di-it-nhat-thi-truong-aidxc23363216
23359448,Audi A6 45 TFSI 2022,1899000000.0,28/08/2025,2022,Máy xăng,Sedan,Xe cũ,4200,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/tiet-kiem-ngay-hon-1ti-bank-70-aidxc23359448
23353887,Audi A6 45 TFSI 2022,1899000000.0,16/08/2025,2022,Máy xăng,Sedan,Xe cũ,4600,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/tiet-kiem-ngay-hon-500tr-aidxc23353887
23353827,Audi A6 45 TFSI 2022,1899000000.0,18/09/2025,2022,Máy xăng,Sedan,Xe cũ,4200,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/xe-luot-sieu-dep-chi-chay-4200km-aidxc23353827
23135615,Audi A7 55 TFSI Quattro 2021,2680000000.0,11/08/2025,2021,Máy xăng,Sedan,Xe cũ,24000,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a7-ha-noi/chay-it-sieu-dep-aidxc23135615
23368548,Audi A7 55 TFSI Quattro 2014,799000000.0,21/09/2025,2014,Máy xăng,Sedan,Xe cũ,85000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a7-hcm/2014-30-tfsi-quattro-85000-km-aidxc23368548
23258442,Audi A7 3.0 TFSI 2012,590000000.0,22/09/2025,2012,Máy xăng,Hatchback,Xe cũ,88980,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a7-hcm/30-nhap-2012-loai-5-cua-full-do-choi-cao-cap-cop-dien-cua-hit-hai-cau-noi-that-niem-aidxc23258442
23242655,Audi A8 4.2 2011,1190000000.0,07/05/2025,2011,Máy xăng,Sedan,Xe cũ,55000,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a8-ha-noi/42-ban-4-ghe-thuong-gia-aidxc23242655
23345469,Audi A8 L 55 TFSI Quattro 2022,3990000000.0,03/09/2025,2022,Máy xăng,Sedan,Xe cũ,20000,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a8-ha-noi/l-55-tfsi-quattro-2022-chay-2-van-km-aidxc23345469
23366408,Audi Q2 2019,858000000.0,16/09/2025,2019,Máy xăng,SUV,Xe cũ,41000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/2019-41000-km-aidxc23366408
23372447,Audi Q2 30 TFSI 2019,856000000.0,02/10/2025,2019,Máy xăng,SUV,Xe cũ,41000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/2019-41000-km-aidxc23372447
23366100,Audi Q2 2019,860000000.0,15/09/2025,2019,Máy xăng,SUV,Xe cũ,40000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/dac-biet-10-turbo-chuan-4-van-km-cuc-dep-aidxc23366100
23331062,Audi Q2 2018,878000000.0,22/07/2025,2018,Máy xăng,SUV,Xe cũ,66000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/lien-he-de-duoc-gia-uu-dai-aidxc23331062
23355296,Audi Q2 TFSI 2018,878000000.0,25/09/2025,2018,Máy xăng,SUV,Xe cũ,66000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/suv-hang-sang-co-nho-tre-trung-thoi-thuong-tiet-kiem-aidxc23355296
23277488,Audi Q2 1.4 TFSI 2018,858000000.0,26/09/2025,2018,Máy xăng,SUV,Xe cũ,66000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/xe-duy-nhat-mau-vang-aidxc23277488
23367022,Audi Q3 2.0 TFSI Quattro 2013,470000000.0,17/09/2025,2013,Máy xăng,SUV,Xe cũ,41998,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q3-ha-noi/20-quattro-2013-470-trieu-aidxc23367022
23361980,Audi Q3 2013,499000000.0,05/09/2025,2013,Máy xăng,N/A,Xe cũ,1,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q3-ha-noi/20-quattro-2013-aidxc23361980
23364666,Audi Q3 2016,550000000.0,12/09/2025,2016,Máy xăng,SUV,Xe cũ,90000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q3-ha-noi/2016-tai-aidxc23364666
23329578,Audi Q3 2024,1638000000.0,05/06/2025,2024,Máy xăng,N/A,Xe cũ,5800,Số tự động,Trong nước,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23329578
23330663,Audi Q3 2024,1638000000.0,09/06/2025,2024,Máy xăng,N/A,Xe cũ,5800,Số tự động,Trong nước,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23330663
23340943,Audi Q3 2024,1738000000.0,14/07/2025,2024,Máy xăng,SUV,Xe cũ,5000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23340943
23337930,Audi Q3 2.0 TFSI Quattro 2013,395000000.0,05/07/2025,2013,Máy xăng,SUV,Xe cũ,80000,Số tự động,Nhập khẩu,Quận 6 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/can-ban-model-2013-xe-rat-dep-aidxc23337930
23320477,Audi Q3 35 TFSI 2022,1389000000.0,12/05/2025,2022,Máy xăng,SUV,Xe cũ,12000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/gia-1-ty-389-trieu-aidxc23320477
23323102,Audi Q3 35 TFSI 2022,1390000000.0,16/05/2025,2022,Máy xăng,SUV,Xe cũ,12222,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/lan-banh-12222-kilomet-aidxc23323102
23319960,Audi Q3 35 TFSI 2022,1390000000.0,10/05/2025,2022,Máy xăng,SUV,Xe cũ,13333,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q3-hcm/tiet-kiem-ngay-700tr-aidxc23319960
23369174,Audi Q5 2.0T 2014,530000000.0,23/09/2025,2014,Máy xăng,SUV,Xe cũ,83000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/2014-83000-km-aidxc23369174
23368317,Audi Q5 2021,1839000000.0,20/09/2025,2021,Máy xăng,SUV,Xe cũ,14,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/2021-aidxc23368317
23368820,Audi Q5 45 TFSI Quattro 2024,2090000000.0,22/09/2025,2024,Máy xăng,SUV,Xe cũ,6000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/2024-sline-45-tfsi-quattro-6000-miles-aidxc23368820
23329881,Audi Q5 2.0 TFSI Quattro 2017,960000000.0,06/09/2025,2017,Máy xăng,SUV,Xe cũ,140000,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/mot-chu-tu-dau-bien-tinh-aidxc23329881
23335517,Audi Q5 2.0 TFSI Quattro 2016,769000000.0,04/09/2025,2016,Máy xăng,SUV,Xe cũ,100000,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/nhap-my-cuc-chat-aidxc23335517
23367027,Audi Q5 2021,1689000000.0,17/09/2025,2021,Máy xăng,SUV,Xe cũ,35000,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/xe-luot-chat-luong-nhu-moi-gia-cuc-tot-aidxc23367027
23363713,Audi Q5 2.0 TFSI Quattro 2014,538000000.0,10/09/2025,2014,Máy xăng,SUV,Xe cũ,86000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/20-tfsi-xe-dep-bao-check-aidxc23363713
23371542,Audi Q5 2017,869000000.0,29/09/2025,2017,Máy xăng,SUV,Xe cũ,N/A,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/2017-tai-tp-aidxc23371542
23368184,Audi Q5 45 TFSI Quattro 2022,1879000000.0,20/09/2025,2022,Máy xăng,SUV,Xe cũ,29000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/2022-45-tfsi-quattro-sieu-luot-29000-km-aidxc23368184
23371549,Audi Q5 45 TFSI Quattro 2021,1590000000.0,29/09/2025,2021,Máy xăng,SUV,Xe cũ,37000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/45-tfsi-quattro-2021-1-ty-590-trieu-aidxc23371549
23368751,Audi Q5 2018,869000000.0,22/09/2025,2018,Máy xăng,SUV,Xe cũ,N/A,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/cam-ket-xe-khong-loi-aidxc23368751
23372373,Audi Q5 45 TFSI Quattro 2021,1798000000.0,02/10/2025,2021,Máy xăng,SUV,Xe cũ,14000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/model-2022-nhap-duc-aidxc23372373
23366382,Audi Q5 45 TFSI Quattro 2022,1879000000.0,16/09/2025,2022,Máy xăng,SUV,Xe cũ,29000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/sline-45-tfsi-quattro-sx2022-di-29k-km-1-aidxc23366382
23362986,Audi Q5 2021,1799000000.0,06/09/2025,2021,Máy xăng,SUV,Xe cũ,14500,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/sline-aidxc23362986
23363255,Audi Q5 45 TFSI Quattro 2022,1890000000.0,09/09/2025,2022,Máy xăng,SUV,Xe cũ,10900,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q5-hcm/sx-2022-sline-45-tfsi-quattro-10900-km-aidxc23363255
23369060,Audi Q7 3.6 2009,288000000.0,22/09/2025,2009,Máy xăng,SUV,Xe cũ,180000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/2009-180000-km-aidxc23369060
23368420,Audi Q7 2014,610000000.0,20/09/2025,2014,Máy xăng,SUV,Xe cũ,N/A,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/2014-so-tu-dong-tai-aidxc23368420
23368821,Audi Q7 2.0 TFSI 2018,1599000000.0,22/09/2025,2018,Máy xăng,SUV,Xe cũ,63000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/2018-20-tfsi-quattro-63000-km-aidxc23368821
23370332,Audi Q7 3.0 TFSI Quattro 2016,1099000000.0,25/09/2025,2016,Máy xăng,SUV,Xe cũ,110179,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/gia-chi-nhinh-1-ty-xxx-qua-hop-ly-cho-mot-chiec-suv-7-cho-dang-cap-nay-aidxc23370332
23370235,Audi Q7 2014,599000000.0,26/09/2025,2014,Máy xăng,SUV,Xe cũ,138000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/odo-chuan-138-van-km-aidxc23370235
23372434,Audi Q7 3.0 TFSI 2012,485000000.0,02/10/2025,2012,Máy xăng,SUV,Xe cũ,110000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/sline-prestige-2012-dk-2014-110000-km-aidxc23372434
23366278,Audi Q7 3.6 2008,245000000.0,16/09/2025,2008,Máy xăng,SUV,Xe cũ,100000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/2008-s-line-36-at-100000-km-aidxc23366278
23369238,Audi Q7 3.6 2011,455000000.0,23/09/2025,2011,Máy xăng,SUV,Xe cũ,82000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/2011-mau-nau-xe-dep-aidxc23369238
23358641,Audi Q7 55 TFSI Quattro 2020,1950000000.0,01/10/2025,2020,Máy xăng,SUV,Xe cũ,50000,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/2020-aidxc23358641
23367578,Audi Q7 55 TFSI Quattro 2019,2050000000.0,18/09/2025,2019,Máy xăng,SUV,Xe cũ,1,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/55-tfsi-quattro-2019-aidxc23367578
23272430,Audi Q7 3.0 TFSI Quattro 2011,445000000.0,29/09/2025,2011,Máy xăng,SUV,Xe cũ,89800,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/may-30-nhap-2011-7-cho-loai-slier-full-do-choi-nha-mua-aidxc23272430
23325776,Audi Q7 3.6 2008,240000000.0,22/09/2025,2008,Máy xăng,SUV,Xe cũ,88780,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/may-36-nhap-duc-2008-7cho-loai-slier-full-do-choi-aidxc23325776
23361654,Audi Q7 2009,350000000.0,04/09/2025,2009,Máy xăng,SUV,Xe cũ,90000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/model-2010-den-led-90000-km-aidxc23361654
23353830,Audi Q7 45 TFSI Quattro 2020,2479000000.0,18/09/2025,2020,Máy xăng,SUV,Xe cũ,55555,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/suv-7-cho-cao-cap-mau-xanh-doc-dao-aidxc23353830
23353839,Audi Q7 45 TFSI Quattro 2020,2480000000.0,15/09/2025,2020,Máy xăng,SUV,Xe cũ,55555,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q7-hcm/tiet-kiem-ngay-hon-1ti-bank-70-aidxc23353839
23362173,Audi Q8 55 TFSI Quattro 2021,2980000000.0,05/09/2025,2021,Máy xăng,SUV,Xe cũ,23999,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q8-hcm/ban-tfsi-sline-55-quatro-2021-sieu-luot-aidxc23362173
23316230,Audi Q8 55 TFSI Quattro 2020,2879000000.0,23/07/2025,2020,Máy xăng,SUV,Xe cũ,27000,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q8-hcm/s-line-55-tfsi-quattro-2024-aidxc23316230
